,DonorID,Age,Gender,Location,JoinDate,DonationID,DonationDate,Amount,CampaignID,CampaignName,StartDate,EndDate,TargetAmount,ActualAmount,Channel,Date,EngagementOutcome,ImpactType,Value,Cost
19130,DNR00204,66,Female,ACT,2021-02-08 22:59:27.552825,DNT006740,2021-10-07,44.42,CAMP002,Youth Initiative 002,59:27.6,59:27.6,58107.99,44689.69,Email,29/07/2022,Engaged,Workshops Delivered,22.0,100.0
19160,DNR00204,66,Female,ACT,2021-02-08 22:59:27.552825,DNT009732,2021-08-23,74.66,CAMP007,Youth Initiative 007,59:27.6,59:27.6,98304.41,79225.78,Email,29/07/2022,Engaged,Workshops Delivered,24.0,100.0
19190,DNR00204,66,Female,ACT,2021-02-08 22:59:27.552825,DNT011725,2019-11-09,72.54,CAMP002,Youth Initiative 002,59:27.6,59:27.6,58107.99,44689.69,Email,29/07/2022,Engaged,Workshops Delivered,22.0,100.0
19220,DNR00204,66,Female,ACT,2021-02-08 22:59:27.552825,DNT013239,2021-09-18,93.16,CAMP007,Youth Initiative 007,59:27.6,59:27.6,98304.41,79225.78,Email,29/07/2022,Engaged,Workshops Delivered,24.0,100.0
19250,DNR00205,18,Male,ACT,2016-11-24 22:59:27.552825,DNT002242,2017-06-15,11.22,CAMP006,Youth Initiative 006,59:27.6,59:27.6,33193.34,39159.84,Email,12/01/2023,Not Reached,Workshops Delivered,25.0,100.0
19285,DNR00205,18,Male,ACT,2016-11-24 22:59:27.552825,DNT003363,2023-05-01,104.08,CAMP005,Youth Initiative 005,59:27.6,59:27.6,54063.32,62346.29,Email,12/01/2023,Not Reached,Workshops Delivered,31.0,100.0
19320,DNR00205,18,Male,ACT,2016-11-24 22:59:27.552825,DNT005680,2017-08-11,253.47,CAMP010,Youth Initiative 010,59:27.6,59:27.6,50455.82,54176.99,Email,12/01/2023,Not Reached,Workshops Delivered,40.0,100.0
19355,DNR00205,18,Male,ACT,2016-11-24 22:59:27.552825,DNT007554,2017-01-14,117.33,CAMP009,Youth Initiative 009,59:27.6,59:27.6,69723.66,68170.79,Email,12/01/2023,Not Reached,Workshops Delivered,37.0,100.0
19390,DNR00205,18,Male,ACT,2016-11-24 22:59:27.552825,DNT015539,2019-12-31,71.59,CAMP007,Youth Initiative 007,59:27.6,59:27.6,98304.41,79225.78,Email,12/01/2023,Not Reached,Workshops Delivered,24.0,100.0
19425,DNR00205,18,Male,ACT,2016-11-24 22:59:27.552825,DNT016518,2024-02-12,137.44,CAMP009,Youth Initiative 009,59:27.6,59:27.6,69723.66,68170.79,Email,12/01/2023,Not Reached,Workshops Delivered,37.0,100.0
19460,DNR00205,18,Male,ACT,2016-11-24 22:59:27.552825,DNT017416,2015-03-20,76.39,CAMP008,Youth Initiative 008,59:27.6,59:27.6,98200.79,102566.77,Email,12/01/2023,Not Reached,Workshops Delivered,85.0,100.0
19495,DNR00206,74,Other,VIC,2021-06-19 22:59:27.552825,DNT008574,2024-04-30,141.05,CAMP005,Youth Initiative 005,59:27.6,59:27.6,54063.32,62346.29,Phone Call,28/02/2025,Unsubscribed,Workshops Delivered,31.0,100.0
19500,DNR00206,74,Other,VIC,2021-06-19 22:59:27.552825,DNT009370,2025-03-13,283.39,CAMP008,Youth Initiative 008,59:27.6,59:27.6,98200.79,102566.77,Phone Call,28/02/2025,Unsubscribed,Workshops Delivered,85.0,100.0
19505,DNR00207,49,Female,NT,2016-01-13 22:59:27.552825,DNT002364,2020-07-17,34.52,CAMP006,Youth Initiative 006,59:27.6,59:27.6,33193.34,39159.84,Social Media,11/08/2022,Engaged,Workshops Delivered,25.0,100.0
19545,DNR00207,49,Female,NT,2016-01-13 22:59:27.552825,DNT007597,2024-05-24,107.43,CAMP004,Youth Initiative 004,59:27.6,59:27.6,49248.12,56117.36,Social Media,11/08/2022,Engaged,Workshops Delivered,27.0,100.0
19585,DNR00208,45,Male,VIC,2021-06-23 22:59:27.552825,DNT002278,2015-09-17,245.76,CAMP006,Youth Initiative 006,59:27.6,59:27.6,33193.34,39159.84,Social Media,14/11/2022,Not Reached,Workshops Delivered,25.0,100.0
19595,DNR00208,45,Male,VIC,2021-06-23 22:59:27.552825,DNT005783,2015-09-29,111.88,CAMP003,Youth Initiative 003,59:27.6,59:27.6,38582.41,33179.39,Social Media,14/11/2022,Not Reached,Workshops Delivered,19.0,100.0
19605,DNR00208,45,Male,VIC,2021-06-23 22:59:27.552825,DNT007284,2015-04-01,27.17,CAMP002,Youth Initiative 002,59:27.6,59:27.6,58107.99,44689.69,Social Media,14/11/2022,Not Reached,Workshops Delivered,22.0,100.0
19615,DNR00208,45,Male,VIC,2021-06-23 22:59:27.552825,DNT008686,2021-02-11,63.49,CAMP004,Youth Initiative 004,59:27.6,59:27.6,49248.12,56117.36,Social Media,14/11/2022,Not Reached,Workshops Delivered,27.0,100.0
19625,DNR00208,45,Male,VIC,2021-06-23 22:59:27.552825,DNT011509,2022-08-18,168.42,CAMP009,Youth Initiative 009,59:27.6,59:27.6,69723.66,68170.79,Social Media,14/11/2022,Not Reached,Workshops Delivered,37.0,100.0
19635,DNR00208,45,Male,VIC,2021-06-23 22:59:27.552825,DNT012343,2019-06-15,159.6,CAMP007,Youth Initiative 007,59:27.6,59:27.6,98304.41,79225.78,Social Media,14/11/2022,Not Reached,Workshops Delivered,24.0,100.0
19645,DNR00208,45,Male,VIC,2021-06-23 22:59:27.552825,DNT014857,2017-03-25,278.37,CAMP010,Youth Initiative 010,59:27.6,59:27.6,50455.82,54176.99,Social Media,14/11/2022,Not Reached,Workshops Delivered,40.0,100.0
19655,DNR00208,45,Male,VIC,2021-06-23 22:59:27.552825,DNT017723,2019-07-11,48.03,CAMP008,Youth Initiative 008,59:27.6,59:27.6,98200.79,102566.77,Social Media,14/11/2022,Not Reached,Workshops Delivered,85.0,100.0
19665,DNR00209,45,Female,WA,2016-10-13 22:59:27.552825,DNT001984,2018-03-02,78.14,CAMP007,Youth Initiative 007,59:27.6,59:27.6,98304.41,79225.78,Newsletter,2/11/2022,Not Reached,Workshops Delivered,24.0,100.0
19675,DNR00209,45,Female,WA,2016-10-13 22:59:27.552825,DNT012061,2020-02-28,154.23,CAMP004,Youth Initiative 004,59:27.6,59:27.6,49248.12,56117.36,Newsletter,2/11/2022,Not Reached,Workshops Delivered,27.0,100.0
19685,DNR00209,45,Female,WA,2016-10-13 22:59:27.552825,DNT012975,2020-01-11,39.9,CAMP010,Youth Initiative 010,59:27.6,59:27.6,50455.82,54176.99,Newsletter,2/11/2022,Not Reached,Workshops Delivered,40.0,100.0
19695,DNR00209,45,Female,WA,2016-10-13 22:59:27.552825,DNT015001,2020-09-30,41.29,CAMP010,Youth Initiative 010,59:27.6,59:27.6,50455.82,54176.99,Newsletter,2/11/2022,Not Reached,Workshops Delivered,40.0,100.0
19705,DNR00209,45,Female,WA,2016-10-13 22:59:27.552825,DNT015634,2022-05-18,226.54,CAMP005,Youth Initiative 005,59:27.6,59:27.6,54063.32,62346.29,Newsletter,2/11/2022,Not Reached,Workshops Delivered,31.0,100.0
19715,DNR00210,67,Male,WA,2024-03-10 22:59:27.552825,DNT000251,2017-06-06,209.1,CAMP009,Youth Initiative 009,59:27.6,59:27.6,69723.66,68170.79,Phone Call,11/08/2022,Engaged,Workshops Delivered,37.0,100.0
19745,DNR00210,67,Male,WA,2024-03-10 22:59:27.552825,DNT001037,2024-06-29,123.88,CAMP007,Youth Initiative 007,59:27.6,59:27.6,98304.41,79225.78,Phone Call,11/08/2022,Engaged,Workshops Delivered,24.0,100.0
19775,DNR00210,67,Male,WA,2024-03-10 22:59:27.552825,DNT003001,2017-01-08,55.85,CAMP007,Youth Initiative 007,59:27.6,59:27.6,98304.41,79225.78,Phone Call,11/08/2022,Engaged,Workshops Delivered,24.0,100.0
19805,DNR00210,67,Male,WA,2024-03-10 22:59:27.552825,DNT010960,2023-07-11,27.71,CAMP005,Youth Initiative 005,59:27.6,59:27.6,54063.32,62346.29,Phone Call,11/08/2022,Engaged,Workshops Delivered,31.0,100.0
19835,DNR00211,44,Female,NSW,2016-01-26 22:59:27.552825,DNT008682,2015-10-13,176.2,CAMP007,Youth Initiative 007,59:27.6,59:27.6,98304.41,79225.78,Email,6/11/2022,Not Reached,Workshops Delivered,24.0,100.0
19870,DNR00211,44,Female,NSW,2016-01-26 22:59:27.552825,DNT009378,2017-05-13,21.92,CAMP007,Youth Initiative 007,59:27.6,59:27.6,98304.41,79225.78,Email,6/11/2022,Not Reached,Workshops Delivered,24.0,100.0
19905,DNR00211,44,Female,NSW,2016-01-26 22:59:27.552825,DNT012792,2019-07-26,60.97,CAMP009,Youth Initiative 009,59:27.6,59:27.6,69723.66,68170.79,Email,6/11/2022,Not Reached,Workshops Delivered,37.0,100.0
19940,DNR00211,44,Female,NSW,2016-01-26 22:59:27.552825,DNT012976,2025-03-27,198.78,CAMP008,Youth Initiative 008,59:27.6,59:27.6,98200.79,102566.77,Email,6/11/2022,Not Reached,Workshops Delivered,85.0,100.0
19975,DNR00211,44,Female,NSW,2016-01-26 22:59:27.552825,DNT017263,2022-02-19,119.18,CAMP004,Youth Initiative 004,59:27.6,59:27.6,49248.12,56117.36,Email,6/11/2022,Not Reached,Workshops Delivered,27.0,100.0
20010,DNR00212,26,Male,WA,2018-09-22 22:59:27.552825,DNT004723,2018-04-30,113.86,CAMP001,Youth Initiative 001,59:27.6,59:27.6,67859.39,57113.83,Social Media,9/10/2022,Unsubscribed,Workshops Delivered,25.0,100.0
20030,DNR00212,26,Male,WA,2018-09-22 22:59:27.552825,DNT010674,2017-07-15,164.1,CAMP010,Youth Initiative 010,59:27.6,59:27.6,50455.82,54176.99,Social Media,9/10/2022,Unsubscribed,Workshops Delivered,40.0,100.0
20050,DNR00213,30,Male,TAS,2016-03-16 22:59:27.552825,DNT000812,2016-05-21,27.47,CAMP010,Youth Initiative 010,59:27.6,59:27.6,50455.82,54176.99,Newsletter,12/10/2022,Engaged,Workshops Delivered,40.0,100.0
20090,DNR00213,30,Male,TAS,2016-03-16 22:59:27.552825,DNT003633,2020-05-02,25.49,CAMP002,Youth Initiative 002,59:27.6,59:27.6,58107.99,44689.69,Newsletter,12/10/2022,Engaged,Workshops Delivered,22.0,100.0
20130,DNR00213,30,Male,TAS,2016-03-16 22:59:27.552825,DNT004327,2021-05-04,50.72,CAMP002,Youth Initiative 002,59:27.6,59:27.6,58107.99,44689.69,Newsletter,12/10/2022,Engaged,Workshops Delivered,22.0,100.0
20170,DNR00213,30,Male,TAS,2016-03-16 22:59:27.552825,DNT013197,2017-06-17,36.95,CAMP010,Youth Initiative 010,59:27.6,59:27.6,50455.82,54176.99,Newsletter,12/10/2022,Engaged,Workshops Delivered,40.0,100.0
20210,DNR00213,30,Male,TAS,2016-03-16 22:59:27.552825,DNT016318,2015-03-13,16.74,CAMP006,Youth Initiative 006,59:27.6,59:27.6,33193.34,39159.84,Newsletter,12/10/2022,Engaged,Workshops Delivered,25.0,100.0
20250,DNR00213,30,Male,TAS,2016-03-16 22:59:27.552825,DNT016433,2018-04-03,90.59,CAMP004,Youth Initiative 004,59:27.6,59:27.6,49248.12,56117.36,Newsletter,12/10/2022,Engaged,Workshops Delivered,27.0,100.0
20290,DNR00213,30,Male,TAS,2016-03-16 22:59:27.552825,DNT016555,2020-11-16,245.86,CAMP004,Youth Initiative 004,59:27.6,59:27.6,49248.12,56117.36,Newsletter,12/10/2022,Engaged,Workshops Delivered,27.0,100.0
20330,DNR00214,52,Male,VIC,2023-03-27 22:59:27.552825,DNT009479,2019-07-24,46.35,CAMP001,Youth Initiative 001,59:27.6,59:27.6,67859.39,57113.83,Social Media,1/09/2022,Not Reached,Workshops Delivered,25.0,100.0
20365,DNR00214,52,Male,VIC,2023-03-27 22:59:27.552825,DNT016239,2022-07-13,93.14,CAMP010,Youth Initiative 010,59:27.6,59:27.6,50455.82,54176.99,Social Media,1/09/2022,Not Reached,Workshops Delivered,40.0,100.0
20400,DNR00215,68,Male,NSW,2019-04-08 22:59:27.552825,DNT000825,2018-02-09,41.89,CAMP009,Youth Initiative 009,59:27.6,59:27.6,69723.66,68170.79,Phone Call,7/02/2023,Engaged,Workshops Delivered,37.0,100.0
20410,DNR00215,68,Male,NSW,2019-04-08 22:59:27.552825,DNT006250,2016-09-26,106.16,CAMP004,Youth Initiative 004,59:27.6,59:27.6,49248.12,56117.36,Phone Call,7/02/2023,Engaged,Workshops Delivered,27.0,100.0
20420,DNR00216,19,Female,TAS,2016-06-09 22:59:27.552825,DNT004739,2016-11-11,132.75,CAMP001,Youth Initiative 001,59:27.6,59:27.6,67859.39,57113.83,Phone Call,3/02/2023,Engaged,Workshops Delivered,25.0,100.0
20445,DNR00216,19,Female,TAS,2016-06-09 22:59:27.552825,DNT008277,2015-08-19,102.34,CAMP009,Youth Initiative 009,59:27.6,59:27.6,69723.66,68170.79,Phone Call,3/02/2023,Engaged,Workshops Delivered,37.0,100.0
20470,DNR00216,19,Female,TAS,2016-06-09 22:59:27.552825,DNT014934,2020-08-05,15.71,CAMP010,Youth Initiative 010,59:27.6,59:27.6,50455.82,54176.99,Phone Call,3/02/2023,Engaged,Workshops Delivered,40.0,100.0
20495,DNR00216,19,Female,TAS,2016-06-09 22:59:27.552825,DNT017657,2025-04-03,41.88,CAMP002,Youth Initiative 002,59:27.6,59:27.6,58107.99,44689.69,Phone Call,3/02/2023,Engaged,Workshops Delivered,22.0,100.0
20520,DNR00217,67,Other,SA,2021-11-25 22:59:27.552825,DNT009039,2021-01-26,36.47,CAMP005,Youth Initiative 005,59:27.6,59:27.6,54063.32,62346.29,Phone Call,23/05/2023,Engaged,Workshops Delivered,31.0,100.0
20545,DNR00217,67,Other,SA,2021-11-25 22:59:27.552825,DNT009534,2021-09-23,59.22,CAMP007,Youth Initiative 007,59:27.6,59:27.6,98304.41,79225.78,Phone Call,23/05/2023,Engaged,Workshops Delivered,24.0,100.0
20570,DNR00217,67,Other,SA,2021-11-25 22:59:27.552825,DNT014494,2023-01-07,64.83,CAMP002,Youth Initiative 002,59:27.6,59:27.6,58107.99,44689.69,Phone Call,23/05/2023,Engaged,Workshops Delivered,22.0,100.0
20595,DNR00217,67,Other,SA,2021-11-25 22:59:27.552825,DNT014606,2020-03-26,105.52,CAMP003,Youth Initiative 003,59:27.6,59:27.6,38582.41,33179.39,Phone Call,23/05/2023,Engaged,Workshops Delivered,19.0,100.0
20620,DNR00218,72,Male,NSW,2023-04-12 22:59:27.552825,DNT006375,2023-01-10,72.59,CAMP001,Youth Initiative 001,59:27.6,59:27.6,67859.39,57113.83,Social Media,8/05/2024,Engaged,Workshops Delivered,25.0,100.0
20630,DNR00218,72,Male,NSW,2023-04-12 22:59:27.552825,DNT006964,2024-10-22,18.4,CAMP005,Youth Initiative 005,59:27.6,59:27.6,54063.32,62346.29,Social Media,8/05/2024,Engaged,Workshops Delivered,31.0,100.0
20640,DNR00218,72,Male,NSW,2023-04-12 22:59:27.552825,DNT007817,2021-08-12,96.7,CAMP003,Youth Initiative 003,59:27.6,59:27.6,38582.41,33179.39,Social Media,8/05/2024,Engaged,Workshops Delivered,19.0,100.0
20650,DNR00218,72,Male,NSW,2023-04-12 22:59:27.552825,DNT013522,2021-09-16,23.26,CAMP009,Youth Initiative 009,59:27.6,59:27.6,69723.66,68170.79,Social Media,8/05/2024,Engaged,Workshops Delivered,37.0,100.0
20660,DNR00218,72,Male,NSW,2023-04-12 22:59:27.552825,DNT014886,2018-12-10,63.54,CAMP001,Youth Initiative 001,59:27.6,59:27.6,67859.39,57113.83,Social Media,8/05/2024,Engaged,Workshops Delivered,25.0,100.0
20670,DNR00218,72,Male,NSW,2023-04-12 22:59:27.552825,DNT015335,2024-12-31,39.91,CAMP009,Youth Initiative 009,59:27.6,59:27.6,69723.66,68170.79,Social Media,8/05/2024,Engaged,Workshops Delivered,37.0,100.0
20680,DNR00219,35,Other,QLD,2018-03-18 22:59:27.552825,DNT001474,2021-01-29,13.99,CAMP001,Youth Initiative 001,59:27.6,59:27.6,67859.39,57113.83,Social Media,15/04/2023,Engaged,Workshops Delivered,25.0,100.0
20695,DNR00219,35,Other,QLD,2018-03-18 22:59:27.552825,DNT005277,2016-06-17,253.88,CAMP007,Youth Initiative 007,59:27.6,59:27.6,98304.41,79225.78,Social Media,15/04/2023,Engaged,Workshops Delivered,24.0,100.0
20710,DNR00220,38,Female,NSW,2024-02-17 22:59:27.552825,DNT011803,2023-11-01,52.77,CAMP010,Youth Initiative 010,59:27.6,59:27.6,50455.82,54176.99,Email,9/09/2022,Not Reached,Workshops Delivered,40.0,100.0
20750,DNR00220,38,Female,NSW,2024-02-17 22:59:27.552825,DNT012934,2022-03-16,36.15,CAMP005,Youth Initiative 005,59:27.6,59:27.6,54063.32,62346.29,Email,9/09/2022,Not Reached,Workshops Delivered,31.0,100.0
20790,DNR00221,39,Other,NSW,2016-07-08 22:59:27.552825,DNT003548,2018-03-25,116.82,CAMP001,Youth Initiative 001,59:27.6,59:27.6,67859.39,57113.83,Email,11/05/2023,Bounced,Workshops Delivered,25.0,100.0
20830,DNR00221,39,Other,NSW,2016-07-08 22:59:27.552825,DNT003985,2017-05-25,39.46,CAMP005,Youth Initiative 005,59:27.6,59:27.6,54063.32,62346.29,Email,11/05/2023,Bounced,Workshops Delivered,31.0,100.0
20870,DNR00221,39,Other,NSW,2016-07-08 22:59:27.552825,DNT007869,2020-04-29,354.22,CAMP010,Youth Initiative 010,59:27.6,59:27.6,50455.82,54176.99,Email,11/05/2023,Bounced,Workshops Delivered,40.0,100.0
20910,DNR00221,39,Other,NSW,2016-07-08 22:59:27.552825,DNT013265,2021-05-09,138.36,CAMP009,Youth Initiative 009,59:27.6,59:27.6,69723.66,68170.79,Email,11/05/2023,Bounced,Workshops Delivered,37.0,100.0
20950,DNR00221,39,Other,NSW,2016-07-08 22:59:27.552825,DNT015600,2022-11-30,137.15,CAMP010,Youth Initiative 010,59:27.6,59:27.6,50455.82,54176.99,Email,11/05/2023,Bounced,Workshops Delivered,40.0,100.0
20990,DNR00222,30,Male,NSW,2019-10-30 22:59:27.552825,DNT002299,2022-08-16,79.02,CAMP005,Youth Initiative 005,59:27.6,59:27.6,54063.32,62346.29,Newsletter,22/06/2023,Engaged,Workshops Delivered,31.0,100.0
21000,DNR00222,30,Male,NSW,2019-10-30 22:59:27.552825,DNT005570,2016-06-14,179.77,CAMP002,Youth Initiative 002,59:27.6,59:27.6,58107.99,44689.69,Newsletter,22/06/2023,Engaged,Workshops Delivered,22.0,100.0
21010,DNR00222,30,Male,NSW,2019-10-30 22:59:27.552825,DNT009659,2016-03-28,80.93,CAMP004,Youth Initiative 004,59:27.6,59:27.6,49248.12,56117.36,Newsletter,22/06/2023,Engaged,Workshops Delivered,27.0,100.0
21020,DNR00222,30,Male,NSW,2019-10-30 22:59:27.552825,DNT009954,2017-01-21,100.8,CAMP002,Youth Initiative 002,59:27.6,59:27.6,58107.99,44689.69,Newsletter,22/06/2023,Engaged,Workshops Delivered,22.0,100.0
21030,DNR00222,30,Male,NSW,2019-10-30 22:59:27.552825,DNT013438,2023-01-06,69.26,CAMP006,Youth Initiative 006,59:27.6,59:27.6,33193.34,39159.84,Newsletter,22/06/2023,Engaged,Workshops Delivered,25.0,100.0
21040,DNR00222,30,Male,NSW,2019-10-30 22:59:27.552825,DNT016661,2021-04-25,104.76,CAMP010,Youth Initiative 010,59:27.6,59:27.6,50455.82,54176.99,Newsletter,22/06/2023,Engaged,Workshops Delivered,40.0,100.0
21050,DNR00223,52,Other,SA,2023-04-01 22:59:27.552825,DNT000262,2017-05-13,62.23,CAMP001,Youth Initiative 001,59:27.6,59:27.6,67859.39,57113.83,Newsletter,28/10/2023,Not Reached,Workshops Delivered,25.0,100.0
21055,DNR00223,52,Other,SA,2023-04-01 22:59:27.552825,DNT001657,2020-10-23,171.36,CAMP005,Youth Initiative 005,59:27.6,59:27.6,54063.32,62346.29,Newsletter,28/10/2023,Not Reached,Workshops Delivered,31.0,100.0
21060,DNR00223,52,Other,SA,2023-04-01 22:59:27.552825,DNT003489,2019-05-30,19.89,CAMP007,Youth Initiative 007,59:27.6,59:27.6,98304.41,79225.78,Newsletter,28/10/2023,Not Reached,Workshops Delivered,24.0,100.0
21065,DNR00223,52,Other,SA,2023-04-01 22:59:27.552825,DNT015021,2019-09-18,58.52,CAMP009,Youth Initiative 009,59:27.6,59:27.6,69723.66,68170.79,Newsletter,28/10/2023,Not Reached,Workshops Delivered,37.0,100.0
21070,DNR00223,52,Other,SA,2023-04-01 22:59:27.552825,DNT017465,2021-01-16,266.18,CAMP003,Youth Initiative 003,59:27.6,59:27.6,38582.41,33179.39,Newsletter,28/10/2023,Not Reached,Workshops Delivered,19.0,100.0
21075,DNR00224,65,Other,WA,2022-11-19 22:59:27.552825,DNT003235,2022-06-08,181.2,CAMP004,Youth Initiative 004,59:27.6,59:27.6,49248.12,56117.36,Social Media,11/09/2022,Bounced,Workshops Delivered,27.0,100.0
21115,DNR00224,65,Other,WA,2022-11-19 22:59:27.552825,DNT010740,2022-03-09,114.84,CAMP003,Youth Initiative 003,59:27.6,59:27.6,38582.41,33179.39,Social Media,11/09/2022,Bounced,Workshops Delivered,19.0,100.0
21155,DNR00224,65,Other,WA,2022-11-19 22:59:27.552825,DNT012766,2019-10-26,165.22,CAMP003,Youth Initiative 003,59:27.6,59:27.6,38582.41,33179.39,Social Media,11/09/2022,Bounced,Workshops Delivered,19.0,100.0
21195,DNR00225,34,Male,TAS,2019-09-25 22:59:27.552825,DNT002110,2023-05-02,17.01,CAMP007,Youth Initiative 007,59:27.6,59:27.6,98304.41,79225.78,Email,28/07/2022,Engaged,Workshops Delivered,24.0,100.0
21235,DNR00225,34,Male,TAS,2019-09-25 22:59:27.552825,DNT011942,2020-10-30,62.17,CAMP005,Youth Initiative 005,59:27.6,59:27.6,54063.32,62346.29,Email,28/07/2022,Engaged,Workshops Delivered,31.0,100.0
21275,DNR00225,34,Male,TAS,2019-09-25 22:59:27.552825,DNT012733,2017-06-21,36.95,CAMP003,Youth Initiative 003,59:27.6,59:27.6,38582.41,33179.39,Email,28/07/2022,Engaged,Workshops Delivered,19.0,100.0
21315,DNR00225,34,Male,TAS,2019-09-25 22:59:27.552825,DNT013129,2016-02-02,74.26,CAMP001,Youth Initiative 001,59:27.6,59:27.6,67859.39,57113.83,Email,28/07/2022,Engaged,Workshops Delivered,25.0,100.0
21355,DNR00225,34,Male,TAS,2019-09-25 22:59:27.552825,DNT014019,2024-11-10,104.49,CAMP002,Youth Initiative 002,59:27.6,59:27.6,58107.99,44689.69,Email,28/07/2022,Engaged,Workshops Delivered,22.0,100.0
21395,DNR00225,34,Male,TAS,2019-09-25 22:59:27.552825,DNT014402,2021-04-08,21.86,CAMP003,Youth Initiative 003,59:27.6,59:27.6,38582.41,33179.39,Email,28/07/2022,Engaged,Workshops Delivered,19.0,100.0
21435,DNR00225,34,Male,TAS,2019-09-25 22:59:27.552825,DNT016541,2023-12-05,47.75,CAMP002,Youth Initiative 002,59:27.6,59:27.6,58107.99,44689.69,Email,28/07/2022,Engaged,Workshops Delivered,22.0,100.0
21475,DNR00226,20,Male,SA,2015-10-30 22:59:27.552825,DNT006794,2020-06-01,192.66,CAMP001,Youth Initiative 001,59:27.6,59:27.6,67859.39,57113.83,Social Media,31/10/2022,Engaged,Workshops Delivered,25.0,100.0
21500,DNR00227,70,Male,VIC,2022-05-07 22:59:27.552825,DNT002648,2018-06-20,132.61,CAMP001,Youth Initiative 001,59:27.6,59:27.6,67859.39,57113.83,Phone Call,22/07/2023,Engaged,Workshops Delivered,25.0,100.0
21510,DNR00227,70,Male,VIC,2022-05-07 22:59:27.552825,DNT004072,2024-05-27,17.65,CAMP009,Youth Initiative 009,59:27.6,59:27.6,69723.66,68170.79,Phone Call,22/07/2023,Engaged,Workshops Delivered,37.0,100.0
21520,DNR00227,70,Male,VIC,2022-05-07 22:59:27.552825,DNT005903,2020-08-08,126.13,CAMP006,Youth Initiative 006,59:27.6,59:27.6,33193.34,39159.84,Phone Call,22/07/2023,Engaged,Workshops Delivered,25.0,100.0
21530,DNR00228,36,Male,TAS,2015-08-29 22:59:27.552825,DNT001554,2020-08-05,92.97,CAMP008,Youth Initiative 008,59:27.6,59:27.6,98200.79,102566.77,Email,14/04/2023,Unsubscribed,Workshops Delivered,85.0,100.0
21550,DNR00228,36,Male,TAS,2015-08-29 22:59:27.552825,DNT001928,2021-05-26,141.92,CAMP007,Youth Initiative 007,59:27.6,59:27.6,98304.41,79225.78,Email,14/04/2023,Unsubscribed,Workshops Delivered,24.0,100.0
21570,DNR00228,36,Male,TAS,2015-08-29 22:59:27.552825,DNT003856,2020-08-25,116.36,CAMP004,Youth Initiative 004,59:27.6,59:27.6,49248.12,56117.36,Email,14/04/2023,Unsubscribed,Workshops Delivered,27.0,100.0
21590,DNR00228,36,Male,TAS,2015-08-29 22:59:27.552825,DNT006417,2017-05-23,10.46,CAMP003,Youth Initiative 003,59:27.6,59:27.6,38582.41,33179.39,Email,14/04/2023,Unsubscribed,Workshops Delivered,19.0,100.0
21610,DNR00228,36,Male,TAS,2015-08-29 22:59:27.552825,DNT009961,2025-04-13,50.39,CAMP007,Youth Initiative 007,59:27.6,59:27.6,98304.41,79225.78,Email,14/04/2023,Unsubscribed,Workshops Delivered,24.0,100.0
21630,DNR00229,26,Female,QLD,2018-09-10 22:59:27.552825,DNT003994,2017-02-17,33.6,CAMP009,Youth Initiative 009,59:27.6,59:27.6,69723.66,68170.79,Phone Call,5/02/2023,Engaged,Workshops Delivered,37.0,100.0
21650,DNR00229,26,Female,QLD,2018-09-10 22:59:27.552825,DNT005589,2024-03-09,65.77,CAMP009,Youth Initiative 009,59:27.6,59:27.6,69723.66,68170.79,Phone Call,5/02/2023,Engaged,Workshops Delivered,37.0,100.0
21670,DNR00229,26,Female,QLD,2018-09-10 22:59:27.552825,DNT012964,2023-10-17,31.68,CAMP007,Youth Initiative 007,59:27.6,59:27.6,98304.41,79225.78,Phone Call,5/02/2023,Engaged,Workshops Delivered,24.0,100.0
21690,DNR00229,26,Female,QLD,2018-09-10 22:59:27.552825,DNT014787,2018-10-24,65.21,CAMP010,Youth Initiative 010,59:27.6,59:27.6,50455.82,54176.99,Phone Call,5/02/2023,Engaged,Workshops Delivered,40.0,100.0
21710,DNR00229,26,Female,QLD,2018-09-10 22:59:27.552825,DNT016486,2017-07-01,64.91,CAMP010,Youth Initiative 010,59:27.6,59:27.6,50455.82,54176.99,Phone Call,5/02/2023,Engaged,Workshops Delivered,40.0,100.0
21730,DNR00230,62,Male,NSW,2020-04-11 22:59:27.552825,DNT004428,2025-02-27,36.03,CAMP010,Youth Initiative 010,59:27.6,59:27.6,50455.82,54176.99,Social Media,24/12/2023,Engaged,Workshops Delivered,40.0,100.0
21755,DNR00230,62,Male,NSW,2020-04-11 22:59:27.552825,DNT004435,2020-04-03,96.64,CAMP004,Youth Initiative 004,59:27.6,59:27.6,49248.12,56117.36,Social Media,24/12/2023,Engaged,Workshops Delivered,27.0,100.0
21780,DNR00230,62,Male,NSW,2020-04-11 22:59:27.552825,DNT004851,2022-08-12,23.35,CAMP003,Youth Initiative 003,59:27.6,59:27.6,38582.41,33179.39,Social Media,24/12/2023,Engaged,Workshops Delivered,19.0,100.0
21805,DNR00230,62,Male,NSW,2020-04-11 22:59:27.552825,DNT005963,2024-07-14,177.61,CAMP004,Youth Initiative 004,59:27.6,59:27.6,49248.12,56117.36,Social Media,24/12/2023,Engaged,Workshops Delivered,27.0,100.0
